1	880.890915	640.890915	27	28.617122	11.263812	14.165116	48.219662	4.248734
2	1127.965825	887.965825	25	31.815662	10.381361	14.837725	47.339219	4.069493
3	1376.111243	1136.111243	23	32.780697	9.809109	20.624706	46.710425	4.008868
4	1616.261562	1376.261562	23	33.484967	11.441010	17.263779	47.661673	4.675806
5	1864.141792	1624.141792	26	31.580824	10.239332	19.149202	47.846700	3.935872
6	2107.594307	1867.594307	24	31.276451	10.008231	17.626262	47.260945	4.004126
7	2353.921889	2113.921889	27	34.773056	10.394171	19.902153	49.510887	3.920704
8	2601.749765	2361.749765	24	33.361885	11.832950	12.274971	50.067445	4.734166
9	2854.750657	2614.750657	22	32.954941	11.072314	18.874041	53.534279	4.626826
10	3101.252311	2861.252311	23	31.336508	11.496107	17.046038	50.625121	4.698324
11	3341.873121	3101.873121	24	36.625836	11.092739	13.476635	50.766005	4.438020
